col_1,col_2,col_3,table_index,date,race_num
QUARTET,"5,4,10,14","36,448.00",0,2023-09-17,9
8TH DOUBLE,13/5,155.00,0,2023-09-17,9
13/4,58.00,,0,2023-09-17,9
Pool,Winning Combination,Dividend (HK$),0,2023-09-17,10
WIN,2,21.50,0,2023-09-17,10
PLACE,2,11.50,0,2023-09-17,10
10,26.50,,0,2023-09-17,10
3,48.00,,0,2023-09-17,10
QUINELLA,"2,10",94.00,0,2023-09-17,10
QUINELLA PLACE,"2,10",41.50,0,2023-09-17,10
"2,3",82.00,,0,2023-09-17,10
"3,10",218.50,,0,2023-09-17,10
FORECAST,"2,10",177.00,0,2023-09-17,10
TIERCE,"2,10,3","1,638.00",0,2023-09-17,10
TRIO,"2,3,10",479.00,0,2023-09-17,10
FIRST 4,"2,3,9,10","1,032.00",0,2023-09-17,10
QUARTET,"2,10,3,9","13,533.00",0,2023-09-17,10
9TH DOUBLE,5/2,139.50,0,2023-09-17,10
5/10,51.50,,0,2023-09-17,10
2ND TREBLE,13/5/2,576.00,0,2023-09-17,10
13/5/10,172.00,,0,2023-09-17,10
5TH DOUBLE TRIO,"4,5,10/2,3,10","34,945.00",0,2023-09-17,10
SIX UP,"8,10/7,11/2,3/8,13/4,5/2,10","4,265.00",0,2023-09-17,10
10/11/3/13/5/2,"474,559.00",,0,2023-09-17,10
JOCKEY CHALLENGE 1,2 [H Bowman],Details,0,2023-09-17,10
TRAINER CHALLENGE 1,2 [K W Lui],Details,0,2023-09-17,10
Pool,Winning Combination,Dividend (HK$),0,2023-09-17,2
WIN,5,53.50,0,2023-09-17,2
PLACE,5,18.00,0,2023-09-17,2
8,21.50,,0,2023-09-17,2
2,30.00,,0,2023-09-17,2
QUINELLA,"5,8",149.00,0,2023-09-17,2
QUINELLA PLACE,"5,8",65.50,0,2023-09-17,2
"2,5",82.00,,0,2023-09-17,2
"2,8",124.50,,0,2023-09-17,2
FORECAST,"5,8",292.00,0,2023-09-17,2
TIERCE,"5,8,2","1,739.00",0,2023-09-17,2
TRIO,"2,5,8",381.00,0,2023-09-17,2
FIRST 4,"2,5,8,12",538.00,0,2023-09-17,2
QUARTET,"5,8,2,12","11,113.00",0,2023-09-17,2
1ST DOUBLE,4/5,88.50,0,2023-09-17,2
4/8,18.50,,0,2023-09-17,2
1ST DOUBLE TRIO,"1,4,5/2,5,8","4,426.00",0,2023-09-17,2
Pool,Winning Combination,Dividend (HK$),0,2023-09-17,3
WIN,1,256.00,0,2023-09-17,3
PLACE,1,40.50,0,2023-09-17,3
4,33.00,,0,2023-09-17,3
QUINELLA,"1,4",711.50,0,2023-09-17,3
FORECAST,"1,4","1,520.00",0,2023-09-17,3
TIERCE,"1,4,5","4,426.00",0,2023-09-17,3
TRIO,"1,4,5",432.00,0,2023-09-17,3
FIRST 4,-,REFUND,0,2023-09-17,3
QUARTET,-,REFUND,0,2023-09-17,3
2ND DOUBLE,5/1,"1,129.00",0,2023-09-17,3
5/4,128.50,,0,2023-09-17,3
